#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR11047625	SRR11047626	SRR11047627	SRR11047628	SRR11047629	SRR11047631	SRR11047632	SRR11047633	SRR11047634	SRR11047635	SRR11047636	SRR11047637	SRR11047639	SRR11047640	SRR11047641	SRR11047642	SRR11047643	SRR11047644	SRR11047645	SRR11047647	SRR11047648	SRR11047649	SRR11047650	SRR11047651	SRR11047653	SRR11047654	SRR11047655	SRR11047656	SRR11047657	SRR11047658	SRR11047659	SRR11047660	SRR11047661	SRR11047662	SRR11047663	SRR11047664	SRR11047665	SRR11047666	SRR11047667	SRR11047668	SRR11047669	SRR11047670	SRR11047671	SRR11047672
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.815543	0.223418	0.273663	0.11608	0.077352	0.300846	0.358628	0.115214	0.922222	0.585018	0.710479	0.080475	0.428414	0.688831	0.304878	0.744689	0.152611	0.081212	0.106174	0.217808	1.227883	0.115465	0.775121	0.901604	2.006501	0.291798	0.11649	0.072865	0.082391	0.474196	0.188663	0.480235	0.214175	0.234442	1.080291	0.311449	0.019041	0.09621	2.662908	1.294729	0.548694	0.061355	0.146406	0.075961
k__Bacteria|p__Firmicutes|c__Negativicutes	0.722358	0.344686	0.245097	0.704299	2.044703	0.043307	0.482104	0.46971	0.209537	0.239817	0.334683	0.247	1.139067	0.032381	0.711803	1.625537	0.585502	0.817715	0.334606	0.002967	2.902062	0.868378	1.253183	0.091824	0.015188	0.0	8.009513	0.151207	0.25692	0.200929	0.970053	0.299392	0.287277	0.236278	1.521524	0.249208	0.416874	0.810382	0.18085	1.121995	1.114722	0.621318	0.476214	0.733401
k__Bacteria|p__Firmicutes|c__CFGB3012	0.663312	0.0	0.0	1.376208	0.608962	1.071602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.296785	0.0	0.474103	0.0	0.105305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.871738	0.0	0.0	0.0	0.497097	1.752567	0.0	0.287169	0.0	2.555096	0.0	0.0	0.0	0.420859
k__Bacteria|p__Pseudomonadota|c__CFGB90573	0.509137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.754693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.021097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.29217	0.131811	5.842465	0.0	0.101188	0.0	0.393561	0.040917	0.059352	0.003749	0.0	0.065104	1.024664	0.085075	0.178312	0.617234	0.0	0.0	0.339895	0.0	0.001558	0.229939	0.031022	1.522455	1.838235	0.0	0.22613	0.0	0.039988	0.078928	0.006132	0.007931	0.0	0.626379	0.000928	1.102173	0.84621	0.563803	0.0	1.989277	4.930284	0.232554	0.028277	0.0
k__Bacteria|p__Firmicutes|c__CFGB79330	0.188493	0.0	0.009763	0.0	0.092856	2.617141	0.043265	0.0	0.065047	0.016154	0.053037	0.004977	0.049631	0.531382	0.0	0.0	0.056993	0.0	0.000427	0.040202	2.503808	0.0	0.119418	0.0	0.219969	0.075533	0.0	0.0	0.0	0.015578	0.19116	0.012103	0.0	0.0	0.232165	0.103641	0.0	0.0	0.0	0.0	0.050016	0.043884	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.185909	0.05847	0.009944	0.010982	0.0	0.021392	0.013885	0.180244	0.28272	0.00512	0.003234	0.049985	0.506883	0.287343	0.180384	0.92811	0.023286	0.049946	0.014905	0.033176	0.21449	0.210873	0.090541	0.004611	0.304182	0.021552	0.030033	0.005597	0.086494	0.047057	0.008943	1.390796	0.225453	0.11219	0.317948	0.092547	0.264172	0.005588	0.001417	9.994189	0.285337	0.021457	0.005156	0.0
k__Bacteria|p__Firmicutes|c__CFGB84486	0.184979	0.0	0.00708	0.359864	0.0	0.130021	0.045768	0.013924	0.503913	0.036258	0.125153	0.051085	0.009711	0.027106	0.092391	0.144108	0.340791	0.087878	0.111931	0.34322	0.0	0.0	0.01135	0.009412	0.0	0.0	0.0	0.058615	0.0	0.059344	0.547994	0.038341	0.0	0.233557	0.129806	1.223159	0.094848	0.007085	0.27839	0.269363	0.134648	0.775838	0.365788	0.000636
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	0.179311	0.0	0.0	0.0	0.828907	0.0	0.0	0.0	0.0	0.0	0.118254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.058269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022115
k__Bacteria|p__Firmicutes|c__CFGB3009	0.145862	0.0	0.0	0.0	0.002454	0.019961	0.0	0.0	0.007096	0.0	0.005864	0.005821	0.011184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028425	0.0	0.002169	0.0	0.0	0.008073	0.006738	0.001483	0.0	0.0	0.0	0.0	0.030557	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1380	0.143277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.063432	0.0	0.0	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	0.132438	0.288548	0.148981	0.468013	0.166941	0.0	0.307572	0.225071	0.0	0.0	0.0	0.099585	0.703141	0.432665	0.074131	0.212436	0.04992	0.735683	0.185714	0.067466	0.0	0.152198	0.0	0.0	0.0	0.0	0.569303	0.263515	0.23827	0.36888	0.0	0.0	0.0	0.169627	0.0	0.134061	0.45701	0.0	0.030568	0.257634	0.013042	0.310139	0.0	0.227478
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.094458	0.16053	0.446267	0.305566	0.226921	0.331678	0.461646	0.129263	0.192687	0.115446	0.254897	0.037818	0.450053	0.303374	0.146317	0.204039	0.167878	0.027732	0.241343	0.095213	1.335253	0.091976	0.040896	0.078884	1.49851	0.03254	0.72582	0.175016	0.040536	0.044709	0.333003	0.141834	0.071319	0.067722	0.256822	0.572495	0.418751	0.018464	0.325123	4.389982	0.547228	0.093797	0.070819	0.055387
k__Bacteria|p__Firmicutes|c__CFGB3023	0.086093	0.019696	0.014855	0.0	0.08032	0.039355	0.097916	0.0	0.185308	0.0274	0.088225	0.121564	0.023128	0.063077	0.005273	0.01517	0.019801	0.0	0.020353	0.024312	0.0	0.009359	0.056961	0.0	0.0	0.0	0.0	0.047713	0.038666	0.02324	0.0	0.007559	0.0	0.085399	0.004222	0.03082	0.0	0.0	0.0	0.074237	0.035005	0.0	0.0	0.020372
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	0.082882	0.0	0.0	1.842759	0.0	0.503602	0.0	0.000901	0.521764	0.932506	0.069775	2.424094	0.564715	2.958803	0.165859	0.007908	0.813153	4.381427	2.198385	0.0	0.0	0.556484	1.402756	0.0	0.0	0.0	0.0	2.720471	0.289411	0.511047	0.383653	3.808166	0.0	0.0	0.858843	0.279282	0.0	0.0	3.972336	3.921235	0.0	1.703359	0.0	0.080868
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	0.060559	0.317365	0.103032	0.0	0.274494	0.021805	0.024759	0.064435	0.185343	0.292621	0.65593	0.109036	0.0	0.613597	0.021418	0.048294	0.019467	0.181842	0.146618	0.006806	1.971434	0.082133	0.155609	0.040476	2.155647	0.905095	0.0	0.564803	0.0	0.460094	0.192172	0.306616	0.500505	0.110825	0.124326	0.316203	0.260455	0.006205	0.0	0.723698	0.066529	0.296993	0.0	0.172736
