#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	ERR2784728	ERR2784729	ERR2784730	ERR2784731	ERR2784741	ERR2784742	ERR2784743	ERR2784752	ERR2784753	ERR2784754	ERR2784755	ERR2784756	ERR2784757	ERR2784759	ERR2784760	ERR2784761	ERR2784762	ERR2784763	ERR2784780	ERR2784781	ERR2784782	ERR2784783	ERR2784796	ERR2784797	ERR2784798	ERR2784799	ERR2784800	ERR2784801	ERR2784802	ERR2784803	ERR2784804	ERR2784805	ERR2784806	ERR2784807	ERR2784808	ERR2784809	ERR2784810	ERR2784811	ERR2784816	ERR2784817	ERR2784818	ERR2784824	ERR2784826	ERR2784827
k__Bacteria|p__Bacteroidota|c__CFGB11479	1.837591	1.848027	1.792972	1.875767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	1.601177	1.778162	1.707303	1.638969	1.335813	1.326861	1.310644	0.115223	0.110178	0.106933	0.096307	0.727997	0.705462	0.684721	0.0	0.0	0.0	0.0	0.246839	0.287354	0.261785	0.259413	1.16785	1.072648	1.115228	1.171972	0.891982	0.87455	0.859664	0.888825	0.219698	0.267416	0.043373	0.0	0.124289	0.073972	0.145039	0.140681	2.211836	2.407863	2.286835	1.616332	1.67032	1.675549
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	1.036316	0.752902	0.928193	0.871417	0.0	0.0	0.0	0.27515	0.242363	0.233654	0.228601	0.117238	0.146099	0.144093	0.291378	0.255017	0.272917	0.27821	0.367862	0.329785	0.326596	0.327086	0.180395	0.154589	0.194757	0.145695	0.095518	0.078415	0.090848	0.080949	0.300587	0.320239	0.0	0.283596	0.048688	0.028942	0.031998	0.027786	0.095024	0.104485	0.111703	0.160775	0.131853	0.147812
k__Bacteria|p__Firmicutes|c__CFGB3054	0.680506	0.5682	0.635462	0.65822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.648237	0.798198	0.630302	0.0	0.0	0.0	0.0	0.524855	0.547319	0.534379	0.560996	0.299733	0.23553	0.276292	0.273827	0.02793	0.050376	0.042704	0.040628	0.361891	0.246253	0.0	0.068003	0.0	0.0	0.0	0.0	0.27173	0.223237	0.248731	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.567321	0.599499	0.595035	0.621541	0.458256	0.519597	0.512776	0.544615	0.548777	0.410936	0.524721	3.979639	4.09101	4.074904	0.475424	0.444331	0.460306	0.444618	0.430628	0.442023	0.380673	0.415716	0.512646	0.483281	0.517644	0.509813	3.017376	2.984605	2.903286	2.849004	0.285368	0.528148	0.066692	0.173842	0.245635	0.323538	0.308455	0.36015	1.120193	1.099624	1.160873	1.320629	1.312527	1.26233
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.488192	0.605437	0.627646	0.528998	0.920582	0.900246	1.010627	0.031088	0.028561	0.007726	0.023118	0.068276	0.069971	0.069985	0.224465	0.185021	0.196078	0.228649	0.274262	0.351156	0.272861	0.208113	0.120989	0.148408	0.166405	0.121153	0.270257	0.32235	0.291651	0.27936	0.489813	0.527808	0.20237	0.081441	0.202766	0.20969	0.16772	0.186074	0.104487	0.106663	0.119589	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.416245	0.360637	0.379375	0.393575	0.024836	0.008548	0.012001	0.134217	0.131767	0.122547	0.128071	0.210458	0.219209	0.204024	0.001361	0.008276	0.008205	0.001742	0.424021	0.356258	0.355237	0.383929	0.037228	0.035858	0.03577	0.033289	0.086867	0.068929	0.069439	0.060353	0.240911	0.312567	0.08799	0.087854	0.195513	0.203196	0.184218	0.155208	0.18562	0.191095	0.204442	0.023353	0.027192	0.021976
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.318855	0.312369	0.262732	0.268955	0.166827	0.135056	0.141883	0.21792	0.2182	0.209444	0.213969	0.320697	0.306474	0.296235	0.0	0.0	0.0	0.0	1.269562	1.233514	1.21422	1.195584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208825	0.126057	0.0	0.0	0.160456	0.151896	0.142164	0.118641	0.65696	0.564242	0.542736	0.32657	0.25484	0.296194
k__Bacteria|p__Firmicutes|c__CFGB1765	0.292049	0.363991	0.325913	0.312573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.230724	6.721642	6.577997	6.694379	2.872513	2.999558	2.933628	2.9693	1.021435	0.988551	1.073165	1.057003	0.405035	0.373762	0.488002	0.449146	0.0	0.0	0.0	0.0	4.036923	4.223516	4.224615	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB529	0.217932	0.199123	0.248779	0.275219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21555	0.1998	0.234564	0.20797	0.0	0.0	0.0	0.0	0.748851	0.920465	0.526361	0.415204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
