taxon	ERR2784756	ERR2784762	ERR2784782	ERR2784818	ERR2784799	ERR2784811	ERR2784807	ERR2784826	ERR2784808	ERR2784760	ERR2784757	ERR2784731	ERR2784817	ERR2784753	ERR2784796	ERR2784783	ERR2784781	ERR2784805	ERR2784806	ERR2784803	ERR2784797	ERR2784741	ERR2784730	ERR2784759	ERR2784809	ERR2784800	ERR2784754	ERR2784742	ERR2784827	ERR2784810	ERR2784728	ERR2784802	ERR2784801	ERR2784755	ERR2784804	ERR2784763	ERR2784761	ERR2784816	ERR2784752	ERR2784780	ERR2784824	ERR2784743	ERR2784729	ERR2784798
Clostridium culturomicium	12.0	3.0	47.0	42.0	75.0	61.0	6.0	31.0	49.0	8.0	18.0	56.0	66.0	20.0	81.0	40.0	53.0	16.0	2.0	10.0	109.0	9.0	69.0	18.0	68.0	19.0	21.0	8.0	25.0	59.0	62.0	11.0	13.0	18.0	15.0	3.0	7.0	65.0	22.0	49.0	37.0	7.0	70.0	98.0
Proteiniphilum propionicum	7.0	2.0	18.0	130.0	66.0	9.0	8.0	47.0	14.0	2.0	5.0	33.0	141.0	18.0	50.0	14.0	20.0	20.0	9.0	44.0	69.0	47.0	28.0	6.0	15.0	47.0	23.0	53.0	44.0	9.0	33.0	37.0	40.0	16.0	30.0	5.0	7.0	148.0	18.0	14.0	77.0	40.0	33.0	66.0
Clostridium cochlearium	18.0	1.0	65.0	69.0	55.0	30.0	4.0	19.0	35.0	3.0	14.0	70.0	65.0	43.0	46.0	76.0	70.0	21.0	16.0	14.0	59.0	5.0	83.0	14.0	34.0	20.0	24.0	6.0	15.0	41.0	74.0	15.0	16.0	27.0	21.0	1.0	3.0	64.0	27.0	112.0	15.0	7.0	73.0	64.0
Variovorax paradoxus	19.0	9.0	69.0	68.0	47.0	4.0	3.0	20.0	6.0	12.0	20.0	19.0	93.0	51.0	92.0	58.0	73.0	8.0	6.0	27.0	70.0	17.0	16.0	24.0	2.0	63.0	30.0	12.0	27.0	0.0	23.0	34.0	62.0	36.0	13.0	11.0	9.0	107.0	76.0	91.0	31.0	16.0	16.0	57.0
Ruminiclostridium papyrosolvens	17.0	3.0	52.0	28.0	49.0	66.0	5.0	50.0	83.0	7.0	21.0	34.0	39.0	40.0	66.0	43.0	59.0	20.0	8.0	11.0	55.0	15.0	44.0	19.0	53.0	9.0	34.0	13.0	49.0	61.0	47.0	14.0	13.0	27.0	29.0	2.0	1.0	58.0	36.0	83.0	77.0	8.0	48.0	47.0
Pseudoramibacter alactolyticus	22.0	15.0	40.0	85.0	78.0	5.0	5.0	40.0	14.0	20.0	9.0	35.0	113.0	22.0	104.0	31.0	55.0	15.0	1.0	22.0	86.0	8.0	49.0	12.0	9.0	23.0	18.0	12.0	60.0	10.0	44.0	17.0	22.0	24.0	17.0	13.0	17.0	116.0	23.0	70.0	45.0	6.0	35.0	69.0
Clostridium argentinense	14.0	3.0	60.0	48.0	57.0	30.0	2.0	46.0	45.0	3.0	16.0	38.0	76.0	11.0	90.0	51.0	77.0	12.0	1.0	12.0	78.0	8.0	47.0	16.0	46.0	16.0	15.0	13.0	43.0	29.0	58.0	25.0	13.0	9.0	21.0	4.0	3.0	83.0	24.0	72.0	77.0	7.0	54.0	82.0
Clostridium kluyveri	17.0	8.0	53.0	92.0	38.0	32.0	7.0	23.0	42.0	5.0	12.0	25.0	97.0	27.0	56.0	65.0	56.0	29.0	13.0	47.0	50.0	11.0	27.0	11.0	35.0	55.0	23.0	7.0	18.0	49.0	43.0	39.0	44.0	18.0	25.0	3.0	11.0	110.0	40.0	49.0	37.0	14.0	30.0	41.0
Streptococcus oralis	41.0	13.0	23.0	35.0	48.0	28.0	4.0	48.0	18.0	16.0	41.0	46.0	54.0	76.0	35.0	29.0	35.0	4.0	1.0	6.0	41.0	57.0	36.0	36.0	24.0	14.0	92.0	42.0	42.0	20.0	35.0	12.0	14.0	78.0	27.0	10.0	16.0	46.0	83.0	31.0	47.0	42.0	41.0	44.0
uncultured Acetobacteroides sp.	7.0	0.0	39.0	64.0	73.0	1.0	10.0	61.0	1.0	1.0	0.0	34.0	74.0	16.0	89.0	31.0	34.0	41.0	9.0	90.0	84.0	1.0	21.0	3.0	0.0	81.0	17.0	5.0	53.0	1.0	49.0	74.0	86.0	19.0	36.0	0.0	1.0	80.0	14.0	45.0	64.0	0.0	43.0	77.0
Ornithobacterium rhinotracheale	17.0	12.0	27.0	36.0	22.0	38.0	9.0	92.0	49.0	17.0	9.0	49.0	38.0	33.0	34.0	21.0	20.0	30.0	9.0	46.0	27.0	23.0	58.0	6.0	32.0	41.0	30.0	32.0	85.0	38.0	63.0	38.0	37.0	27.0	23.0	11.0	16.0	44.0	34.0	33.0	117.0	23.0	49.0	22.0
Faecalibaculum rodentium	22.0	4.0	46.0	76.0	73.0	10.0	2.0	58.0	12.0	4.0	27.0	14.0	125.0	23.0	94.0	35.0	48.0	14.0	9.0	36.0	82.0	30.0	13.0	18.0	10.0	49.0	17.0	18.0	51.0	6.0	21.0	32.0	43.0	16.0	20.0	5.0	6.0	112.0	20.0	52.0	52.0	26.0	17.0	62.0
Priestia megaterium	21.0	3.0	63.0	43.0	33.0	42.0	15.0	29.0	50.0	3.0	23.0	27.0	83.0	41.0	91.0	49.0	65.0	26.0	10.0	21.0	52.0	18.0	27.0	22.0	49.0	38.0	18.0	15.0	21.0	32.0	25.0	29.0	33.0	23.0	29.0	6.0	6.0	69.0	36.0	91.0	36.0	8.0	25.0	64.0
Cetobacterium somerae	14.0	3.0	53.0	61.0	49.0	35.0	6.0	27.0	35.0	7.0	13.0	33.0	80.0	10.0	83.0	39.0	71.0	18.0	10.0	19.0	70.0	12.0	36.0	10.0	44.0	24.0	27.0	13.0	42.0	40.0	41.0	13.0	32.0	16.0	30.0	8.0	3.0	120.0	31.0	80.0	55.0	10.0	35.0	50.0
Veillonella atypica	22.0	46.0	6.0	16.0	32.0	52.0	0.0	33.0	54.0	42.0	24.0	6.0	15.0	57.0	45.0	5.0	11.0	6.0	2.0	3.0	35.0	171.0	0.0	32.0	61.0	1.0	36.0	150.0	47.0	57.0	6.0	1.0	3.0	48.0	9.0	38.0	44.0	18.0	36.0	5.0	46.0	142.0	4.0	31.0
Flagellimonas sp.	8.0	0.0	28.0	89.0	28.0	5.0	6.0	151.0	11.0	3.0	3.0	25.0	66.0	19.0	36.0	19.0	31.0	22.0	8.0	29.0	38.0	40.0	18.0	6.0	14.0	53.0	16.0	24.0	130.0	11.0	37.0	31.0	30.0	15.0	27.0	0.0	3.0	80.0	19.0	24.0	190.0	33.0	35.0	31.0
Haemophilus pittmaniae	0.0	0.0	2.0	0.0	15.0	178.0	6.0	154.0	211.0	0.0	1.0	0.0	2.0	2.0	10.0	2.0	2.0	13.0	4.0	0.0	5.0	48.0	0.0	1.0	202.0	0.0	2.0	47.0	156.0	181.0	0.0	1.0	0.0	3.0	15.0	0.0	0.0	4.0	1.0	6.0	164.0	46.0	0.0	6.0
[Clostridium] colinum	35.0	3.0	89.0	80.0	57.0	22.0	4.0	17.0	31.0	1.0	48.0	20.0	89.0	21.0	92.0	82.0	81.0	10.0	4.0	17.0	76.0	11.0	17.0	36.0	28.0	12.0	13.0	14.0	25.0	35.0	25.0	15.0	27.0	20.0	5.0	2.0	4.0	63.0	18.0	97.0	27.0	18.0	21.0	68.0
Bacillus cereus	8.0	2.0	59.0	73.0	48.0	34.0	6.0	33.0	35.0	9.0	10.0	32.0	91.0	15.0	51.0	53.0	63.0	21.0	6.0	23.0	64.0	22.0	38.0	14.0	46.0	37.0	24.0	9.0	15.0	47.0	44.0	33.0	29.0	17.0	29.0	2.0	1.0	102.0	17.0	72.0	41.0	7.0	34.0	54.0
Fastidiosipila sanguinis	8.0	4.0	47.0	48.0	90.0	95.0	4.0	14.0	108.0	2.0	16.0	13.0	41.0	16.0	97.0	45.0	50.0	9.0	7.0	10.0	88.0	10.0	25.0	6.0	96.0	23.0	22.0	8.0	11.0	133.0	17.0	15.0	14.0	19.0	17.0	5.0	5.0	44.0	10.0	58.0	9.0	6.0	23.0	78.0
Proteiniborus sp. MB09-C3	23.0	6.0	109.0	63.0	40.0	34.0	4.0	32.0	35.0	5.0	20.0	16.0	112.0	10.0	84.0	97.0	116.0	15.0	6.0	20.0	47.0	2.0	17.0	16.0	23.0	22.0	22.0	1.0	14.0	21.0	17.0	22.0	21.0	16.0	6.0	4.0	0.0	95.0	15.0	108.0	24.0	6.0	25.0	65.0
Haemophilus haemolyticus	0.0	1.0	2.0	2.0	25.0	258.0	0.0	9.0	255.0	0.0	6.0	2.0	4.0	9.0	24.0	4.0	4.0	3.0	2.0	0.0	34.0	73.0	2.0	2.0	290.0	0.0	4.0	68.0	8.0	247.0	1.0	1.0	0.0	5.0	5.0	0.0	1.0	5.0	3.0	5.0	3.0	64.0	1.0	21.0
Terrisporobacter vanillatitrophus	25.0	1.0	52.0	54.0	30.0	66.0	2.0	45.0	48.0	5.0	14.0	21.0	78.0	21.0	58.0	46.0	70.0	11.0	2.0	13.0	57.0	10.0	36.0	8.0	58.0	9.0	23.0	8.0	61.0	61.0	43.0	12.0	13.0	19.0	17.0	2.0	2.0	73.0	34.0	74.0	72.0	6.0	49.0	42.0
Anaerofustis stercorihominis	18.0	8.0	52.0	52.0	57.0	42.0	9.0	31.0	49.0	8.0	26.0	50.0	68.0	41.0	84.0	33.0	43.0	17.0	3.0	14.0	73.0	7.0	54.0	17.0	55.0	11.0	23.0	7.0	18.0	42.0	48.0	4.0	15.0	22.0	19.0	13.0	10.0	63.0	46.0	39.0	37.0	6.0	41.0	70.0
Clostridium cellulovorans	17.0	7.0	43.0	58.0	63.0	33.0	1.0	20.0	44.0	8.0	15.0	29.0	86.0	18.0	84.0	54.0	58.0	15.0	4.0	12.0	64.0	20.0	48.0	16.0	46.0	9.0	14.0	15.0	21.0	38.0	56.0	11.0	13.0	26.0	21.0	4.0	3.0	94.0	21.0	55.0	28.0	11.0	59.0	78.0
