taxon	ERR2784756	ERR2784762	ERR2784782	ERR2784818	ERR2784799	ERR2784811	ERR2784807	ERR2784826	ERR2784808	ERR2784760	ERR2784757	ERR2784731	ERR2784817	ERR2784753	ERR2784796	ERR2784783	ERR2784781	ERR2784805	ERR2784806	ERR2784803	ERR2784797	ERR2784741	ERR2784730	ERR2784759	ERR2784809	ERR2784800	ERR2784754	ERR2784742	ERR2784827	ERR2784810	ERR2784728	ERR2784802	ERR2784801	ERR2784755	ERR2784804	ERR2784763	ERR2784761	ERR2784816	ERR2784752	ERR2784780	ERR2784824	ERR2784743	ERR2784729	ERR2784798
Segatella copri	1379.0	5423.0	821.0	2108.0	633951.0	3118.0	76401.0	194120.0	3751.0	6131.0	1494.0	341820.0	2605.0	1991.0	743848.0	738.0	1085.0	238078.0	85968.0	2034085.0	724810.0	3830.0	355652.0	1015.0	3675.0	2274950.0	1550.0	3297.0	183163.0	3274.0	374763.0	2128644.0	2185306.0	1501.0	258453.0	5372.0	6004.0	2582.0	1831.0	1009.0	220757.0	3097.0	366873.0	672203.0
Phocaeicola vulgatus	18185.0	16992.0	141931.0	415442.0	38604.0	531590.0	1751.0	245759.0	588065.0	18844.0	18015.0	24900.0	438456.0	226116.0	45044.0	134778.0	147904.0	5310.0	1940.0	16974.0	44176.0	1543208.0	25840.0	15675.0	574408.0	19647.0	209531.0	1436485.0	231708.0	553945.0	27568.0	17893.0	18726.0	200013.0	5491.0	16313.0	18506.0	449043.0	229473.0	150792.0	267437.0	1345262.0	26915.0	41028.0
Phocaeicola dorei	535712.0	719211.0	31810.0	15638.0	15458.0	15441.0	92.0	116011.0	17411.0	775982.0	521686.0	489156.0	17010.0	34979.0	18330.0	30468.0	33400.0	271.0	118.0	4228.0	17681.0	41535.0	507217.0	466866.0	16869.0	5044.0	32685.0	38301.0	109523.0	16072.0	533572.0	4600.0	4879.0	30905.0	352.0	685134.0	757262.0	17895.0	36091.0	33906.0	126025.0	35700.0	526572.0	16280.0
Bacteroides uniformis	488950.0	738591.0	231434.0	57545.0	97777.0	2923.0	645.0	106080.0	3394.0	817862.0	472682.0	18655.0	62000.0	78199.0	118843.0	217210.0	246010.0	2000.0	685.0	9649.0	114297.0	219446.0	19245.0	414649.0	3374.0	11096.0	72988.0	202731.0	99160.0	3085.0	20913.0	10244.0	10920.0	69083.0	2249.0	697943.0	789430.0	64038.0	82027.0	252543.0	116532.0	188614.0	20208.0	104953.0
Bacteroides caccae	111271.0	102419.0	709.0	7527.0	5136.0	7232.0	41.0	5309.0	8576.0	110614.0	108761.0	399106.0	8252.0	74563.0	6025.0	718.0	838.0	203.0	62.0	743.0	5919.0	91178.0	416619.0	96665.0	8077.0	921.0	70300.0	85078.0	5163.0	7580.0	439155.0	801.0	824.0	66577.0	200.0	97140.0	108167.0	8529.0	75938.0	862.0	5817.0	79519.0	433885.0	5495.0
Bacteroides thetaiotaomicron	26513.0	12070.0	79203.0	9845.0	15231.0	131494.0	457.0	131562.0	145809.0	13853.0	25780.0	78523.0	10986.0	140592.0	17982.0	75121.0	85169.0	1461.0	506.0	26343.0	17800.0	79395.0	81887.0	22630.0	142253.0	30596.0	132467.0	74169.0	124567.0	137498.0	86921.0	28012.0	29080.0	124962.0	1488.0	11339.0	13089.0	11338.0	143325.0	86748.0	143333.0	68708.0	86426.0	15948.0
Agathobacter rectalis	82399.0	48185.0	47395.0	92631.0	17520.0	7975.0	4890.0	40776.0	8647.0	53044.0	81178.0	55300.0	97314.0	254688.0	20685.0	44592.0	50275.0	14377.0	5420.0	24611.0	19873.0	48744.0	57506.0	71459.0	8639.0	27867.0	242389.0	45976.0	38504.0	8326.0	60671.0	25631.0	26773.0	230647.0	15606.0	45766.0	51883.0	99677.0	258649.0	51389.0	43278.0	43070.0	60105.0	18734.0
Bacteroides stercoris	123836.0	50929.0	6174.0	32932.0	4782.0	142994.0	61.0	6239.0	160057.0	54578.0	120963.0	28026.0	34931.0	21030.0	5815.0	6026.0	6668.0	213.0	77.0	13220.0	5707.0	343446.0	28871.0	107878.0	154460.0	14991.0	18594.0	320424.0	5886.0	149383.0	30524.0	13780.0	14529.0	17688.0	212.0	47917.0	52751.0	35905.0	22420.0	6837.0	7324.0	301146.0	29605.0	5177.0
Alistipes putredinis	193.0	178456.0	59201.0	62551.0	8870.0	513.0	35.0	139855.0	589.0	197255.0	192.0	172.0	65349.0	131735.0	10723.0	56155.0	62420.0	137.0	36.0	1000.0	10138.0	288.0	213.0	128.0	601.0	1292.0	124007.0	222.0	130416.0	561.0	211.0	1050.0	1115.0	116895.0	133.0	168420.0	187376.0	68601.0	139179.0	65585.0	156783.0	186.0	227.0	9321.0
Parabacteroides distasonis	28723.0	101740.0	43569.0	45011.0	14620.0	51485.0	460.0	53737.0	58871.0	114577.0	27631.0	37604.0	48505.0	57809.0	17552.0	40989.0	45520.0	1447.0	469.0	9888.0	16993.0	58118.0	39388.0	23685.0	56745.0	11899.0	53315.0	53545.0	50474.0	53727.0	42420.0	10887.0	11078.0	49764.0	1521.0	96100.0	109271.0	50075.0	59906.0	47651.0	60814.0	49769.0	41362.0	15836.0
Bacteroides ovatus	72713.0	163388.0	9757.0	7385.0	30564.0	4723.0	122.0	33854.0	5429.0	183613.0	69519.0	17281.0	8121.0	33827.0	36999.0	9148.0	10707.0	345.0	131.0	8412.0	35361.0	136310.0	18256.0	60935.0	5375.0	9945.0	31187.0	123187.0	31866.0	4913.0	19688.0	8909.0	9490.0	29823.0	443.0	154039.0	176264.0	8489.0	34984.0	10940.0	38413.0	114867.0	19401.0	32322.0
Bacteroides xylanisolvens	110331.0	19736.0	7025.0	9025.0	53032.0	6306.0	498.0	11227.0	7242.0	22652.0	108556.0	24373.0	9959.0	137142.0	63112.0	6741.0	7563.0	1441.0	596.0	5889.0	61206.0	41463.0	25823.0	93801.0	7185.0	6881.0	126697.0	38445.0	10664.0	6427.0	27582.0	6261.0	6667.0	119799.0	1606.0	18631.0	21366.0	10031.0	140847.0	8027.0	12486.0	35486.0	27131.0	56514.0
Bacteroides intestinalis	117305.0	280.0	295.0	802.0	570.0	117791.0	79.0	3990.0	131094.0	367.0	115277.0	601.0	958.0	165601.0	755.0	325.0	353.0	157.0	56.0	396.0	712.0	5238.0	614.0	101014.0	128614.0	555.0	153282.0	4818.0	3681.0	122652.0	717.0	469.0	500.0	144048.0	202.0	297.0	324.0	1021.0	169389.0	360.0	4458.0	4614.0	703.0	677.0
Faecalibacterium prausnitzii	54083.0	12268.0	50335.0	38934.0	47769.0	16421.0	1074.0	40623.0	18814.0	14933.0	50015.0	27898.0	42479.0	60825.0	58639.0	47386.0	53497.0	3842.0	1131.0	13281.0	54189.0	23471.0	29282.0	43188.0	17706.0	16059.0	57155.0	22040.0	37419.0	17155.0	33020.0	14033.0	14495.0	53732.0	4463.0	11468.0	13358.0	45930.0	65146.0	57042.0	46956.0	20730.0	30808.0	50618.0
Alistipes onderdonkii	156682.0	319.0	16143.0	4579.0	8555.0	65127.0	39.0	70791.0	76231.0	394.0	146731.0	532.0	4935.0	12151.0	10405.0	14842.0	17112.0	195.0	59.0	872.0	9699.0	1498.0	542.0	130842.0	70947.0	1106.0	10953.0	1293.0	65734.0	69010.0	642.0	934.0	1076.0	10297.0	179.0	309.0	320.0	5214.0	13487.0	18059.0	80271.0	1191.0	647.0	9167.0
Segatella hominis	75.0	517.0	50.0	164.0	29093.0	31.0	5778.0	29244.0	44.0	503.0	81.0	5290.0	211.0	79.0	34701.0	39.0	63.0	17458.0	6520.0	185708.0	33967.0	95.0	5598.0	59.0	28.0	206933.0	58.0	62.0	27428.0	52.0	5796.0	194047.0	198950.0	59.0	19106.0	438.0	484.0	245.0	97.0	55.0	33134.0	50.0	5738.0	30843.0
Bacteroides cellulosilyticus	5887.0	12250.0	15177.0	930.0	1689.0	7170.0	33.0	245593.0	8309.0	13328.0	5657.0	23277.0	1106.0	9049.0	2000.0	14184.0	16188.0	99.0	38.0	280.0	1988.0	7534.0	24262.0	4991.0	7871.0	405.0	8233.0	6835.0	231355.0	7451.0	25810.0	310.0	325.0	7684.0	123.0	11341.0	12902.0	1170.0	9168.0	16322.0	270312.0	6384.0	25276.0	1686.0
Bacteroides fragilis	50496.0	42175.0	4438.0	5448.0	3349.0	88699.0	120.0	6691.0	99049.0	46735.0	48982.0	4440.0	6019.0	34146.0	4064.0	4082.0	4854.0	398.0	118.0	3654.0	3888.0	48889.0	4505.0	43478.0	95814.0	4298.0	31596.0	45379.0	6368.0	92340.0	4965.0	3885.0	3923.0	30191.0	441.0	40115.0	44857.0	6448.0	35142.0	5081.0	7610.0	42612.0	4977.0	3510.0
Parabacteroides merdae	30850.0	1397.0	47416.0	11160.0	9728.0	699.0	140.0	40717.0	778.0	1549.0	29610.0	35558.0	11854.0	41690.0	11470.0	45274.0	49823.0	440.0	149.0	15615.0	11469.0	44664.0	37135.0	27136.0	730.0	18035.0	38851.0	41367.0	38313.0	696.0	38885.0	16318.0	17036.0	36397.0	479.0	1330.0	1444.0	12265.0	42562.0	50837.0	44235.0	38604.0	38336.0	10348.0
Paraprevotella clara	54.0	75.0	73.0	6631.0	9159.0	102.0	162.0	537.0	109.0	103.0	50.0	205044.0	7153.0	122.0	10613.0	66.0	91.0	569.0	194.0	330.0	10211.0	205.0	214827.0	38.0	114.0	411.0	117.0	180.0	547.0	103.0	229787.0	330.0	372.0	112.0	579.0	81.0	96.0	7350.0	125.0	84.0	658.0	165.0	225297.0	9566.0
Lachnospira eligens	3004.0	344.0	13528.0	36835.0	2552.0	114619.0	558.0	2644.0	123603.0	371.0	3020.0	41328.0	38812.0	2207.0	3246.0	13093.0	14286.0	1585.0	677.0	3934.0	3206.0	2859.0	43103.0	2546.0	120499.0	4480.0	1932.0	2434.0	2534.0	118014.0	45971.0	4183.0	4372.0	1868.0	1619.0	287.0	358.0	39880.0	2228.0	14590.0	3064.0	2279.0	45802.0	2767.0
Roseburia faecis	1928.0	2272.0	79867.0	16142.0	5877.0	3878.0	1577.0	53299.0	4603.0	2536.0	1905.0	9283.0	17118.0	10984.0	6930.0	76743.0	83718.0	4997.0	1890.0	15229.0	6734.0	31768.0	9558.0	1506.0	4256.0	16849.0	10246.0	30717.0	50688.0	4216.0	10423.0	15789.0	16320.0	9897.0	5511.0	2102.0	2391.0	17594.0	11496.0	85448.0	58038.0	28582.0	10325.0	6160.0
Alistipes finegoldii	980.0	860.0	43996.0	1564.0	1784.0	1503.0	76.0	143973.0	1736.0	932.0	970.0	1370.0	1638.0	8662.0	2156.0	40904.0	46176.0	263.0	86.0	3219.0	2067.0	26927.0	1409.0	845.0	1602.0	3697.0	7664.0	25875.0	135970.0	1547.0	1618.0	3291.0	3405.0	7211.0	285.0	802.0	1016.0	1752.0	9547.0	49041.0	160886.0	24157.0	1507.0	1864.0
Odoribacter splanchnicus	15297.0	12989.0	7817.0	6588.0	33551.0	3208.0	462.0	46924.0	3690.0	13972.0	15106.0	13662.0	6761.0	34619.0	38815.0	7199.0	8109.0	1419.0	525.0	8190.0	38040.0	21223.0	14239.0	13354.0	3694.0	9163.0	32599.0	19973.0	44432.0	3326.0	14849.0	8639.0	8752.0	31041.0	1565.0	12287.0	13514.0	6994.0	35036.0	8296.0	51164.0	19112.0	14835.0	35917.0
Simiaoa sunii	3612.0	3576.0	1560.0	43056.0	23915.0	6802.0	9083.0	6277.0	7723.0	3948.0	3636.0	8649.0	45858.0	2882.0	28782.0	1559.0	1725.0	29094.0	10136.0	39691.0	27732.0	3564.0	8951.0	3100.0	7295.0	45249.0	2756.0	3381.0	5830.0	7272.0	9650.0	41860.0	43021.0	2407.0	31248.0	3286.0	3821.0	47562.0	2969.0	1852.0	6914.0	2931.0	9640.0	25482.0
Alistipes shahii	1410.0	999.0	41994.0	4957.0	26279.0	1996.0	978.0	16092.0	2240.0	1262.0	1371.0	2742.0	5258.0	19062.0	32145.0	38974.0	43392.0	3026.0	901.0	2586.0	29574.0	38642.0	2930.0	1210.0	2116.0	3094.0	17444.0	37348.0	15276.0	1988.0	3099.0	2789.0	2804.0	16594.0	3367.0	1005.0	1119.0	5536.0	20016.0	46812.0	18499.0	34824.0	3011.0	28003.0
Bacteroides faecis	130547.0	4413.0	2022.0	35051.0	1817.0	2581.0	83.0	3280.0	3115.0	4873.0	127957.0	1183.0	37436.0	2606.0	2216.0	1947.0	2137.0	258.0	98.0	782.0	2218.0	7080.0	1358.0	114773.0	2950.0	871.0	2382.0	6251.0	3079.0	2882.0	1485.0	787.0	833.0	2226.0	302.0	4134.0	4674.0	38231.0	2871.0	2307.0	3827.0	5843.0	1419.0	1997.0
Blautia wexlerae	17795.0	11142.0	12470.0	12663.0	4759.0	21987.0	310.0	22580.0	25493.0	12652.0	17747.0	12717.0	13649.0	12279.0	5922.0	11991.0	13435.0	914.0	343.0	8012.0	5616.0	15948.0	13329.0	15255.0	25285.0	9556.0	11099.0	14487.0	20976.0	23170.0	14715.0	8705.0	9051.0	10457.0	949.0	10592.0	12285.0	13839.0	12077.0	13653.0	25174.0	13714.0	14223.0	5082.0
Alistipes communis	442.0	6670.0	13189.0	9605.0	6875.0	332.0	1018.0	1473.0	355.0	7593.0	403.0	443.0	10204.0	84980.0	8158.0	12751.0	14339.0	3174.0	995.0	8764.0	7575.0	1192.0	470.0	330.0	387.0	10160.0	80865.0	1129.0	1343.0	325.0	581.0	9269.0	9429.0	76387.0	3623.0	6426.0	7177.0	10524.0	91636.0	15375.0	1686.0	1005.0	566.0	7270.0
Roseburia intestinalis	4150.0	7144.0	4412.0	11478.0	3673.0	20067.0	689.0	4849.0	21802.0	7935.0	3874.0	12325.0	12313.0	5050.0	4444.0	4305.0	4832.0	2008.0	720.0	3460.0	4349.0	63895.0	12761.0	3451.0	21044.0	3932.0	4711.0	60734.0	4568.0	20843.0	13906.0	3461.0	3765.0	4477.0	2281.0	6995.0	7714.0	13083.0	5595.0	5001.0	5594.0	57072.0	13784.0	3955.0
Ruminococcus bicirculans (ex Wegman et al. 2014)	17247.0	53.0	1019.0	17759.0	1452.0	4337.0	86.0	19283.0	4709.0	61.0	17211.0	91.0	18755.0	71508.0	1791.0	992.0	1113.0	305.0	108.0	353.0	1691.0	82.0	97.0	15343.0	4565.0	471.0	67106.0	76.0	18324.0	4479.0	110.0	380.0	441.0	63262.0	349.0	45.0	74.0	19393.0	72525.0	1081.0	20600.0	71.0	107.0	1500.0
Anaerostipes hadrus	11747.0	525.0	13223.0	6857.0	6943.0	10841.0	81.0	24018.0	12491.0	629.0	11542.0	13302.0	7293.0	17265.0	8110.0	12744.0	14420.0	243.0	84.0	1051.0	8084.0	16898.0	13848.0	9737.0	12390.0	1234.0	15987.0	15405.0	22779.0	11715.0	14676.0	1201.0	1245.0	14922.0	283.0	503.0	560.0	7374.0	17220.0	14615.0	25988.0	14553.0	14419.0	7285.0
Cupriavidus oxalaticus	7.0	34.0	11.0	9.0	11.0	5.0	2.0	6.0	10.0	32.0	6.0	9.0	13.0	1.0	18.0	14.0	18.0	3.0	2.0	93.0	10.0	134273.0	9.0	6.0	10.0	35.0	5.0	146605.0	6.0	10.0	13.0	31.0	32.0	0.0	5.0	35.0	27.0	20.0	2.0	12.0	13.0	144291.0	13.0	9.0
Akkermansia muciniphila	589.0	17.0	56970.0	21153.0	132.0	40.0	15.0	939.0	53.0	36.0	544.0	298.0	22280.0	28191.0	182.0	52910.0	59104.0	44.0	11.0	184.0	197.0	118.0	310.0	461.0	43.0	214.0	26509.0	101.0	848.0	30.0	370.0	183.0	170.0	24974.0	52.0	17.0	35.0	23807.0	29551.0	63204.0	1130.0	92.0	337.0	135.0
Vescimonas coprocola	7098.0	1192.0	23513.0	9245.0	11322.0	654.0	672.0	9996.0	694.0	1300.0	6671.0	986.0	10129.0	33518.0	14535.0	21871.0	24642.0	2553.0	685.0	2583.0	13144.0	2578.0	976.0	5704.0	674.0	3132.0	31888.0	2334.0	9147.0	650.0	1145.0	2808.0	2867.0	29891.0	2904.0	1069.0	1250.0	11299.0	36730.0	26678.0	11878.0	2210.0	1113.0	12258.0
Bacteroides salyersiae	1624.0	1745.0	3414.0	1991.0	5469.0	872.0	183.0	3004.0	1040.0	2161.0	1462.0	14461.0	2214.0	51171.0	6397.0	3273.0	3661.0	493.0	195.0	10581.0	6111.0	5071.0	15052.0	1318.0	1001.0	12204.0	47432.0	4678.0	2891.0	964.0	16264.0	11178.0	11635.0	45421.0	594.0	1693.0	2014.0	2333.0	51796.0	3836.0	3476.0	4319.0	15943.0	5765.0
Blautia obeum	5176.0	3751.0	20744.0	10542.0	3699.0	3303.0	311.0	13742.0	4017.0	4254.0	4845.0	13205.0	11497.0	14965.0	4430.0	19300.0	22149.0	953.0	317.0	2645.0	4327.0	2968.0	14065.0	4062.0	3753.0	3039.0	13560.0	2610.0	12687.0	3506.0	15430.0	2717.0	2867.0	12842.0	1013.0	3458.0	3959.0	11817.0	15336.0	22704.0	15346.0	2534.0	14686.0	3952.0
[Ruminococcus] torques	4811.0	8478.0	3115.0	3622.0	2704.0	20916.0	227.0	5349.0	23404.0	9154.0	4689.0	18985.0	4229.0	8782.0	3257.0	2934.0	3378.0	701.0	237.0	4306.0	3149.0	5400.0	19601.0	4103.0	22770.0	5143.0	8127.0	5102.0	5149.0	21878.0	20794.0	4695.0	4782.0	7434.0	758.0	8047.0	8967.0	4181.0	8928.0	3343.0	5911.0	4624.0	20592.0	2942.0
Bacteroides faecium	1558.0	1628.0	208.0	1327.0	888.0	69745.0	21.0	799.0	80044.0	1918.0	1397.0	988.0	1581.0	1535.0	1147.0	205.0	246.0	70.0	18.0	233.0	1059.0	1862.0	1022.0	1182.0	76851.0	294.0	1403.0	1634.0	763.0	72751.0	1074.0	218.0	233.0	1321.0	69.0	1481.0	1779.0	1622.0	1656.0	256.0	958.0	1566.0	1005.0	955.0
Barnesiella intestinihominis	34209.0	87.0	242.0	304.0	42347.0	31.0	440.0	212.0	24.0	100.0	33459.0	861.0	341.0	75.0	49173.0	252.0	328.0	1373.0	557.0	7617.0	47920.0	72.0	979.0	29825.0	34.0	8862.0	55.0	54.0	206.0	28.0	1037.0	8189.0	8491.0	46.0	1612.0	73.0	88.0	363.0	82.0	381.0	285.0	46.0	940.0	44469.0
Anaerobutyricum hallii	11990.0	12120.0	11959.0	5029.0	4226.0	6813.0	235.0	6852.0	7949.0	13505.0	11638.0	5901.0	5502.0	10115.0	4988.0	11533.0	12966.0	695.0	266.0	1825.0	4893.0	3601.0	6122.0	10141.0	7746.0	2342.0	9378.0	3483.0	6090.0	7100.0	6555.0	2064.0	2127.0	8846.0	794.0	11491.0	12973.0	5517.0	10294.0	13179.0	7557.0	3257.0	6393.0	4316.0
Mediterraneibacter gnavus	6153.0	2599.0	8056.0	7968.0	4220.0	11688.0	236.0	7332.0	13160.0	3065.0	5933.0	9487.0	8770.0	11443.0	5101.0	7515.0	8461.0	789.0	293.0	3757.0	5017.0	3385.0	10091.0	5005.0	12946.0	4312.0	10648.0	3064.0	7194.0	12426.0	10802.0	3977.0	4159.0	10162.0	813.0	2428.0	2774.0	9129.0	12107.0	8870.0	8734.0	2895.0	10583.0	4512.0
Dorea longicatena	7846.0	3704.0	7563.0	6477.0	7214.0	1446.0	1051.0	6132.0	1584.0	4215.0	7460.0	9382.0	7086.0	9978.0	8500.0	7316.0	8294.0	3155.0	1213.0	6599.0	8100.0	7336.0	9866.0	6270.0	1563.0	8010.0	9188.0	6841.0	6023.0	1500.0	10671.0	7080.0	7546.0	8636.0	3303.0	3440.0	3910.0	7195.0	10328.0	8302.0	7133.0	6348.0	10407.0	7719.0
Sutterella wadsworthensis	59.0	65.0	41.0	198.0	4149.0	22.0	21.0	51645.0	25.0	75.0	42.0	50.0	254.0	32.0	4893.0	42.0	50.0	53.0	20.0	22799.0	4751.0	50.0	62.0	24.0	20.0	25443.0	27.0	46.0	49181.0	22.0	67.0	23527.0	24097.0	16.0	76.0	67.0	80.0	312.0	23.0	41.0	54599.0	41.0	69.0	4435.0
Megamonas funiformis	88463.0	7.0	41.0	43.0	79.0	81.0	13.0	15.0	111.0	15.0	88083.0	10.0	38.0	52.0	86.0	46.0	42.0	19.0	9.0	15.0	68.0	53.0	14.0	78468.0	103.0	17.0	41.0	37.0	9.0	95.0	23.0	10.0	17.0	46.0	20.0	12.0	24.0	34.0	53.0	50.0	27.0	56.0	11.0	71.0
Flavonifractor plautii	3808.0	2881.0	6364.0	16621.0	3716.0	6536.0	251.0	6834.0	7355.0	3339.0	3462.0	2645.0	17489.0	11786.0	4842.0	6079.0	6962.0	781.0	249.0	1196.0	4343.0	5122.0	2902.0	3156.0	6750.0	1429.0	11045.0	4847.0	6323.0	6854.0	3198.0	1274.0	1310.0	10489.0	1007.0	2828.0	3078.0	18917.0	12938.0	7294.0	7775.0	4538.0	3042.0	3907.0
Roseburia hominis	24281.0	984.0	4524.0	3146.0	5205.0	3889.0	378.0	4861.0	4419.0	1080.0	22902.0	3594.0	3472.0	14883.0	6179.0	4380.0	4897.0	1274.0	398.0	1238.0	5912.0	2093.0	3679.0	20587.0	4319.0	1541.0	13757.0	1928.0	4604.0	4110.0	4224.0	1326.0	1385.0	13315.0	1395.0	856.0	1025.0	3625.0	15840.0	5067.0	5553.0	1811.0	4035.0	5524.0
Coprococcus sp. ART55/1	26521.0	113.0	774.0	398.0	22831.0	380.0	404.0	668.0	422.0	85.0	25812.0	323.0	433.0	639.0	26750.0	714.0	862.0	1293.0	456.0	10004.0	26436.0	133.0	361.0	22582.0	383.0	11873.0	553.0	113.0	592.0	385.0	425.0	10581.0	11367.0	536.0	1414.0	104.0	137.0	433.0	639.0	870.0	723.0	134.0	401.0	24571.0
Klebsiella michiganensis	74298.0	87.0	67.0	127.0	29.0	244.0	0.0	38.0	265.0	14.0	74144.0	9.0	94.0	17.0	22.0	20.0	11.0	5.0	7.0	159.0	16.0	18.0	16.0	76189.0	219.0	128.0	108.0	119.0	23.0	267.0	12.0	170.0	127.0	47.0	8.0	28.0	14.0	90.0	16.0	18.0	56.0	60.0	11.0	20.0
uncultured Alistipes sp.	163.0	300.0	6209.0	1422.0	480.0	691.0	19.0	541.0	888.0	350.0	148.0	372.0	1549.0	45342.0	680.0	5822.0	7082.0	74.0	30.0	328.0	591.0	421.0	399.0	126.0	833.0	406.0	40960.0	403.0	527.0	752.0	436.0	373.0	365.0	38485.0	91.0	262.0	283.0	1689.0	51547.0	7979.0	655.0	399.0	464.0	554.0
Wujia chipingensis	405.0	203.0	2496.0	8834.0	36585.0	589.0	70.0	524.0	717.0	193.0	396.0	331.0	9199.0	606.0	43257.0	2487.0	2637.0	258.0	82.0	739.0	41168.0	244.0	354.0	345.0	678.0	824.0	518.0	202.0	513.0	682.0	424.0	790.0	812.0	486.0	250.0	182.0	252.0	9699.0	641.0	2880.0	618.0	188.0	415.0	39343.0
Collinsella aerofaciens	9144.0	57.0	11159.0	8961.0	2638.0	162.0	1630.0	659.0	204.0	58.0	8691.0	8271.0	9571.0	6014.0	3361.0	10544.0	11984.0	5199.0	1526.0	3773.0	2917.0	1769.0	8999.0	7462.0	204.0	4868.0	5613.0	1604.0	580.0	175.0	10189.0	3992.0	4289.0	5356.0	6094.0	48.0	47.0	10404.0	6674.0	13167.0	763.0	1496.0	9542.0	2847.0
Bilophila wadsworthia	6964.0	10845.0	6231.0	1832.0	662.0	2272.0	334.0	10300.0	2387.0	11830.0	6520.0	4153.0	1966.0	9845.0	784.0	6099.0	6479.0	1212.0	361.0	2455.0	721.0	845.0	4144.0	5982.0	2224.0	2767.0	9320.0	751.0	9869.0	2144.0	4521.0	2641.0	2579.0	8564.0	1455.0	10281.0	10954.0	2252.0	10614.0	7034.0	11487.0	670.0	4350.0	676.0
Alistipes dispar	137.0	1795.0	3706.0	574.0	233.0	144.0	16.0	510.0	162.0	2052.0	143.0	2762.0	691.0	43301.0	279.0	3478.0	4131.0	44.0	12.0	221.0	286.0	45.0	2897.0	114.0	153.0	240.0	39432.0	52.0	551.0	130.0	3187.0	230.0	239.0	36934.0	54.0	1593.0	1856.0	759.0	47447.0	4480.0	659.0	40.0	2955.0	237.0
Butyricimonas faecihominis	4007.0	39.0	2032.0	2966.0	4560.0	24.0	15.0	5616.0	18.0	29.0	3925.0	269.0	3112.0	133.0	5359.0	1871.0	2245.0	47.0	12.0	10799.0	5246.0	31188.0	268.0	3362.0	20.0	12131.0	105.0	29456.0	5249.0	21.0	278.0	11180.0	11712.0	102.0	31.0	35.0	42.0	3331.0	118.0	2162.0	5962.0	27797.0	281.0	4897.0
Ruthenibacterium lactatiformans	3007.0	1580.0	6619.0	3334.0	10704.0	7821.0	188.0	3525.0	8836.0	1799.0	2809.0	2331.0	3532.0	7906.0	12537.0	6199.0	7004.0	640.0	174.0	687.0	11582.0	4676.0	2358.0	2586.0	8464.0	780.0	7208.0	4652.0	3308.0	8338.0	2679.0	780.0	783.0	6919.0	694.0	1482.0	1674.0	3865.0	8338.0	7460.0	4012.0	4198.0	2504.0	11272.0
Diaphorobacter ruginosibacter	1815.0	3827.0	3995.0	3264.0	1940.0	1705.0	224.0	1068.0	12745.0	11464.0	697.0	501.0	4175.0	8489.0	14761.0	1719.0	5100.0	760.0	447.0	1230.0	5885.0	4526.0	1202.0	225.0	4968.0	8979.0	6698.0	3615.0	449.0	4221.0	3521.0	2869.0	3618.0	2834.0	2214.0	1523.0	4611.0	9940.0	21852.0	12491.0	3291.0	1432.0	1444.0	4619.0
Bacteroides eggerthii	2354.0	1025.0	1343.0	10334.0	4055.0	3019.0	176.0	2286.0	3532.0	1267.0	2366.0	1901.0	11178.0	7192.0	4741.0	1233.0	1447.0	497.0	200.0	760.0	4673.0	19785.0	1975.0	1926.0	3485.0	908.0	6544.0	17995.0	2133.0	3167.0	2219.0	782.0	856.0	6011.0	617.0	926.0	1094.0	11340.0	7681.0	1442.0	2636.0	17089.0	2111.0	4251.0
Coprococcus comes	7880.0	2448.0	5626.0	2928.0	1500.0	1022.0	1493.0	867.0	1272.0	2836.0	7768.0	7544.0	3001.0	7889.0	1857.0	5313.0	5943.0	4172.0	1612.0	2175.0	1801.0	1760.0	7716.0	6576.0	1168.0	2555.0	7283.0	1606.0	743.0	1081.0	8283.0	2359.0	2291.0	6867.0	4733.0	2295.0	2577.0	3082.0	7961.0	5979.0	911.0	1540.0	8262.0	1624.0
Mitsuokella multacida	50.0	114.0	2595.0	138.0	147.0	20.0	29.0	54.0	22.0	107.0	57.0	32.0	144.0	41.0	294.0	2520.0	2733.0	80.0	25.0	32435.0	223.0	23.0	31.0	36.0	18.0	38924.0	32.0	17.0	65.0	22.0	37.0	33775.0	35708.0	22.0	100.0	78.0	119.0	158.0	35.0	3173.0	74.0	16.0	35.0	198.0
Butyricimonas virosa	1441.0	4828.0	646.0	2865.0	6101.0	25.0	149.0	15545.0	35.0	5132.0	1403.0	2690.0	3049.0	56.0	7117.0	613.0	683.0	405.0	147.0	4326.0	7018.0	4309.0	2779.0	1327.0	30.0	4983.0	54.0	4056.0	15168.0	22.0	2961.0	4494.0	4634.0	44.0	458.0	4473.0	5097.0	2959.0	53.0	738.0	16852.0	3928.0	2907.0	6518.0
Dorea formicigenerans	3376.0	1519.0	3040.0	2775.0	2627.0	2521.0	219.0	3523.0	2909.0	1587.0	3271.0	12310.0	3119.0	3485.0	3131.0	2896.0	3422.0	712.0	248.0	1128.0	3097.0	3224.0	12689.0	2742.0	2709.0	1471.0	3178.0	3006.0	3270.0	2558.0	13918.0	1270.0	1322.0	2945.0	805.0	1411.0	1612.0	3262.0	3642.0	3469.0	3981.0	2839.0	13516.0	2765.0
